hook,intent,production,funnel,effort,is_template,usability,usability_band,archetype,tier,om,om_pct,views,words,word_band,lang,main_category,subcategory,year,username,permalink
7 questions to ask your kids before it's too late,TEACH,TEXT_ON_BROLL,NURTURE,1,False,64.3,high,listicle,high,33.05785124,0.8072,1200000,10,6-10,en,Entertainment,Comedy Platforms,2024,flamingo.cards,https://www.tiktok.com/@flamingo.cards/photo/7405815942636227882
Why do you use Plum?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,64.3,high,question,high,33.12548714,0.8073,42500,5,3-5,en,Finance,Banking Apps,2022,plumapp,https://www.tiktok.com/@plumapp/video/7081678737988668678
What kind of person are you based on what you eat? Fitia Edition,PROVOKE,TEXT_ON_BROLL,REACH,1,False,64.3,high,question,high,33.13032887,0.8074,40800,13,11-26,en,Health & Fitness,Diet & Nutrition,2024,fitia.app,https://www.tiktok.com/@fitia.app/photo/7394558900235816223
What Type of Creator Are You?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,64.3,high,question,high,33.20987654,0.8075,107600,6,6-10,en,Social Networking,Link Sharing/ Bio Management,2022,linktr.ee,https://www.tiktok.com/@linktr.ee/video/7090986146326531329
My roommate just landed a $368k job at Tesla with AI 😭,PROVE,TALKING_HEAD,CONVERT,2,False,64.3,high,outcome_proof,high,162.7145086,0.9296,208600,12,11-26,en,Business,HR & Payroll,2024,parakeetai,https://www.tiktok.com/@parakeetai/video/7443510011604634913
The profile boost on Peeps is crazy 😳,ENTERTAIN,TEXT_ON_BROLL,REACH,1,False,64.3,high,shock_statement,high,32.95586527,0.8066,113500,8,6-10,en,Social Networking,Friend Finders,2024,peepsapp,https://www.tiktok.com/@peepsapp/video/7332249873590258986
SOCIAL MEDIA MANAGERS! you can create a crazy amount of videos in no time,ENTERTAIN,TEXT_ON_BROLL,REACH,1,False,64.3,high,shock_statement,high,32.99728577,0.8069,170200,14,11-26,en,Photo & Video,Video Editing,2023,mojo.app,https://www.tiktok.com/@mojo.app/video/7247140422890392874
When I get a follow up email at 8:01am for an email I received yesterday at 4:59pm.,RELATE,TALKING_HEAD,REACH,2,False,64.3,high,pov_realism,high,166.2632375,0.9304,109900,17,11-26,en,Shopping,E-commerce Marketplaces,2023,fashwire,https://www.tiktok.com/@fashwire/video/7200878375614008622
Love sending cards?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,64.3,high,question,high,33.23679727,0.8077,9755,3,3-5,en,Photo & Video,Card Makers,2024,sillyrobotcards,https://www.tiktok.com/@sillyrobotcards/video/7370832872074120480
are smoothie cubes good for you?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,64.3,high,question,high,32.95711061,0.8067,14600,6,6-10,en,Health & Fitness,Diet & Nutrition,2023,trashpanda_app,https://www.tiktok.com/@trashpanda_app/video/7213440313354997035
1 MONTH of good luck starts NOW! Use this sound to claim 🍀❤️ This is a frequency for abundance and protection,TEACH,TEXT_ON_BROLL,NURTURE,1,False,64.3,high,listicle,high,32.95833333,0.8068,870100,21,11-26,en,Health & Fitness,Meditation & Mindfulness,2024,zenfulnote,https://www.tiktok.com/@zenfulnote/video/7383460774913592619
12:19 pm i'm a gemini!!,ENTERTAIN,TALKING_HEAD,REACH,2,False,64.3,high,shock_statement,high,160.6976744,0.929,276400,5,3-5,en,Photo & Video,None of the above. The text seems to be related to a wallpaper and icon customization app.,2021,themify_app,https://www.tiktok.com/@themify_app/video/7047411281845865734
The last thing I want to do is give up my shiny Kendrick song...,ENTERTAIN,TALKING_HEAD,REACH,2,False,64.2,high,reveal_tease,high,156.6168809,0.9274,450900,14,11-26,en,Music,Concert Finder,2024,bestofsoundmap,https://www.tiktok.com/@bestofsoundmap/photo/7397445085853404446
AI used my face to create an Avatar and I am obsessed,ENTERTAIN,TALKING_HEAD,REACH,2,False,64.2,high,shock_statement,high,153.3967391,0.9266,112900,12,11-26,en,Photo & Video,Meme Creators,2022,arta_app,https://www.tiktok.com/@arta_app/video/7175183501690653998
How can you install a countdown widget on your iPhone? 😊,PROVOKE,TEXT_ON_BROLL,REACH,1,False,64.2,high,question,high,32.95323087,0.8066,99700,11,11-26,en,Photo & Video,,2023,myscreenapp,https://www.tiktok.com/@myscreenapp/video/7257124001330318634
skipping legs...,ENTERTAIN,TEXT_ON_BROLL,REACH,1,False,64.2,high,reveal_tease,high,32.70651444,0.8056,292200,2,0-2,en,Health & Fitness,Workout Trackers,2024,strongermobile,https://www.tiktok.com/@strongermobile/photo/7351444556610587937
"Meet Alexandra, a digital nomad and I have been a digital nomad for the past 3",PROVOKE,TALKING_HEAD,REACH,2,False,64.2,high,imperative,high,157.8852237,0.928,174700,16,11-26,en,Travel,Travel Safety,2024,airdoctorapp,https://www.tiktok.com/@airdoctorapp/video/7444486755815869716
Does that make sense to you?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,64.2,high,question,high,32.75182893,0.8059,261900,6,6-10,en,Education,Language Learning,2024,fluentjoy_app,https://www.tiktok.com/@fluentjoy_app/video/7382411770889030944
10 things that happen when you take a break from alcohol,TEACH,TEXT_ON_BROLL,NURTURE,1,False,64.2,high,listicle,high,32.47889966,0.8046,103900,11,11-26,en,Health & Fitness,Health Journals,2024,reframeapp,https://www.tiktok.com/@reframeapp/photo/7407855740708261151
"Asking workers their expected salary when they were fresh graduate Business Analyst 24 years old Earns RM3.4k/month When I first graduated, my expected salary was RM2k",PROVE,TALKING_HEAD,CONVERT,2,False,64.2,high,outcome_proof,high,153.779573,0.9268,533000,26,11-26,en,Business,HR & Payroll,2022,hiredly.official,https://www.tiktok.com/@hiredly.official/video/7166953525946125594
THIS IS WHY SHADOW WORK IS EFFECTIVE ! THIS IS WHY SHADOW WORK WORKS !,PROVOKE,TEXT_ON_BROLL,REACH,1,False,64.1,high,curiosity_gap,high,32.29166667,0.8034,852500,15,11-26,pl,Health & Fitness,Meditation & Mindfulness,2024,zenfulnote,https://www.tiktok.com/@zenfulnote/video/7443282783188864299
HOW DO YOU CUT YOUR SANDWICHES?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,64.1,high,question,high,32.20892274,0.8028,74000,6,6-10,en,Food & Drink,Food Delivery,2021,beep.my,https://www.tiktok.com/@beep.my/video/6969528677797350658
"To start pilates and look like Bella Hadid, or continue to be a fit thick gym rat?",PROVOKE,TEXT_ON_BROLL,REACH,1,False,64.1,high,question,high,32.28977066,0.8033,88700,17,11-26,en,Health & Fitness,Workout Trackers,2022,corecircle,https://www.tiktok.com/@corecircle/video/7151224649261714734
Best college bars in the nation pt. 1,TEACH,TEXT_ON_BROLL,NURTURE,1,False,64.1,high,listicle,high,32.35859125,0.8038,75800,8,6-10,en,Entertainment,Fan Communities,2024,lineleap,https://www.tiktok.com/@lineleap/video/7327727884095819051
NO OF-FENCE...,ENTERTAIN,TEXT_ON_BROLL,REACH,1,False,64.1,high,reveal_tease,high,32.2997416,0.8035,2500000,2,0-2,en,Navigation,Hiking & Outdoor Navigation,2023,geocaching,https://www.tiktok.com/@geocaching/video/7224551945799879982
WE ARE ALL BREAKING UP WITH UBER EATS!! @Uber Eats this is ILLEGAL,ENTERTAIN,TALKING_HEAD,REACH,2,False,64.1,high,shock_statement,high,147.7321814,0.9248,68400,13,11-26,en,Food & Drink,Cooking Tutorials,2024,sizzleapp,https://www.tiktok.com/@sizzleapp/video/7449543111367347502
Can we see a lip swap of the shade beautiful I would love to see how it looks on lips 😊,PROVOKE,TALKING_HEAD,REACH,2,False,64.1,high,question,high,150.1863065,0.9256,644900,21,11-26,en,Shopping,Luxury Goods,2024,wonderskin,https://www.tiktok.com/@wonderskin/video/7343328692044565793
ISTJ and INTP stereotypes be like...,ENTERTAIN,TEXT_ON_BROLL,REACH,1,False,64.1,high,reveal_tease,high,32.26683396,0.8032,154300,6,6-10,en,Social Networking,Friend Finders,2022,boo_app,https://www.tiktok.com/@boo_app/video/7127997838239517998
This one is for the girlies obsessed with the Babygirl movie,ENTERTAIN,TEXT_ON_BROLL,REACH,1,False,64.1,high,shock_statement,high,32.45049505,0.8044,655500,11,11-26,en,Entertainment,Audio Apps,2024,tryquinn,https://www.tiktok.com/@tryquinn/video/7452092439516450090
When my boss asks how I plan to sell debit cards this week,RELATE,TALKING_HEAD,REACH,2,False,64.1,high,pov_realism,high,147.768595,0.9249,178800,13,11-26,en,Finance,Financial Literacy Tools,2022,joinfizz,https://www.tiktok.com/@joinfizz/video/7161571200869862702
your welcome,PROVOKE,TEXT_ON_BROLL,REACH,1,False,64.1,high,direct_address,high,32.24880383,0.8032,674000,2,0-2,en,Lifestyle,Motivation,2024,spotahome,https://www.tiktok.com/@spotahome/video/7436702882444872993
I own a thriftstore and here's how I promote my clothes,TEACH,TALKING_HEAD,NURTURE,2,False,64.0,high,outcome_proof,high,144.4003296,0.9236,963800,11,11-26,en,Photo & Video,Photo Editing,2024,picsart,https://www.tiktok.com/@picsart/video/7454340898030193950
Us changing our colleague's desktop background and Slack photo because they left their laptop unlocked,RELATE,TALKING_HEAD,REACH,2,False,64.0,high,relatable_identity,high,146.5953236,0.9245,1000000,15,11-26,en,Utilities,Network Tools,2025,surfshark,https://www.tiktok.com/@surfshark/video/7460492347374341399
How to make a new friend:,TEACH,SCREEN_DEMO,NURTURE,3,True,64.0,high,demonstration,strong,8.2,0.5843,266500,6,6-10,en,Entertainment,Fan Communities,2023,cathunter.app,https://www.tiktok.com/@cathunter.app/video/7315049066033941766
Ever find yourself juggling through a thousand things,PROVOKE,TEXT_ON_BROLL,REACH,1,False,64.0,high,question,high,32.0754717,0.8025,10200,8,6-10,en,Food & Drink,Food Journaling,2023,gococo_app,https://www.tiktok.com/@gococo_app/video/7308744283463355679
"You can imagine a woman giving up her family,",PROVOKE,TEXT_ON_BROLL,REACH,1,False,64.0,high,direct_address,high,31.75041597,0.8011,954100,9,6-10,en,Entertainment,Celebrity News & Gossip,2024,ancestry,https://www.tiktok.com/@ancestry/video/7382245644137794859
"Excuse me, what's your name? My name is Jessica. What's yours?",PROVOKE,TALKING_HEAD,REACH,2,False,64.0,high,question,high,144.6540881,0.9239,2300000,11,11-26,en,Education,Language Learning,2024,fluentjoy_english,https://www.tiktok.com/@fluentjoy_english/video/7379845000810581256
ACCURATE LENGTH MEASUREMENT How do you measure a wall without a ruler?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,64.0,high,question,high,32.14285714,0.8026,16200,12,11-26,en,Productivity,Document Management,2023,iscanner_app,https://www.tiktok.com/@iscanner_app/video/7282738938215812357
Sleep please Inhale repeat 2x for 😴,PROVE,TEXT_ON_BROLL,CONVERT,1,False,64.0,high,outcome_proof,high,31.83673469,0.8016,3900000,7,6-10,en,Health & Fitness,Meditation & Mindfulness,2022,breathwrk,https://www.tiktok.com/@breathwrk/video/7111896123819691306
Are you reeeeaally looking for closure?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,64.0,high,question,high,31.65956217,0.8007,219100,6,6-10,en,,,2021,matchdating,https://www.tiktok.com/@matchdating/video/6938173800542391557
Acronym Challenge: What does BCC stand for?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,64.0,high,question,high,31.81818182,0.8012,41300,7,6-10,en,Education,Study Aids & Flashcards,2023,elevateapp,https://www.tiktok.com/@elevateapp/video/7205315622027185450
If you had to guess... what percentage of women do you think begin to snore during pregnancy?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,64.0,high,question,high,32.14285714,0.8026,23400,17,11-26,en,Health & Fitness,Sleep Analysis,2024,soundsleepapp,https://www.tiktok.com/@soundsleepapp/photo/7389988521659878688
Why we flag Carrageenan,PROVOKE,TALKING_HEAD,REACH,2,False,63.9,high,question,high,143.3408578,0.9231,63500,4,3-5,en,Health & Fitness,Diet & Nutrition,2023,trashpanda_app,https://www.tiktok.com/@trashpanda_app/video/7223491648104172843
Get paid €30k to move to the Get paid to move to Italy,PROVE,TEXT_ON_BROLL,CONVERT,1,False,63.9,high,outcome_proof,high,31.58033478,0.8001,119800,13,11-26,en,Travel,Trip Journals,2022,skratchworld,https://www.tiktok.com/@skratchworld/video/7168896489857535237
I saved you😢😢,PROVE,TALKING_HEAD,CONVERT,2,False,63.9,high,outcome_proof,high,142.1099291,0.9227,961800,3,3-5,he,Entertainment,Meme Generators,2024,cloneaiapp,https://www.tiktok.com/@cloneaiapp/video/7421810415547534599
If you're worried about ChatGPT plagiarism,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.9,high,direct_address,strong,31.35810811,0.7994,928200,6,6-10,en,Photo & Video,Video Editing,2023,synthesia.ai,https://www.tiktok.com/@synthesia.ai/video/7199196685216566533
Save this for when you need it! 9 places to eat in Cheras,TEACH,TEXT_ON_BROLL,NURTURE,1,False,63.9,high,listicle,strong,31.38193689,0.7995,72100,13,11-26,en,Food & Drink,Food Delivery,2023,beep.my,https://www.tiktok.com/@beep.my/photo/7289420453620239624
97.0 A My Grades 🥰 VS My Friends' 😄 67.5 D,PROVE,TALKING_HEAD,CONVERT,2,False,63.9,high,comparative,high,140.8560311,0.9222,18100,11,11-26,ko,Education,AI Study Tools,2024,uknow.ai_official,https://www.tiktok.com/@uknow.ai_official/video/7437131066357337386
4 tips for a low-light apartment,TEACH,TEXT_ON_BROLL,NURTURE,1,False,63.9,high,listicle,high,31.58730159,0.8002,19900,6,6-10,en,Lifestyle,Home Decor & DIY,2022,apartmentlist,https://www.tiktok.com/@apartmentlist/video/7177152111640071470
Here: U are here A treasure map Um Ok I made it Seen by Lilly,PROVE,TALKING_HEAD,CONVERT,2,False,63.9,high,outcome_proof,high,140.9646302,0.9223,876800,15,11-26,en,Entertainment,Fan Communities,2024,daze.chat,https://www.tiktok.com/@daze.chat/video/7410879669303561515
You'll know you're dating an adult when...,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.9,high,direct_address,strong,31.52951376,0.7999,218200,7,6-10,en,,,2021,matchdating,https://www.tiktok.com/@matchdating/video/7021590936840948997
How to make an Outfit Infographic,TEACH,SCREEN_DEMO,NURTURE,3,True,63.9,high,demonstration,strong,8.184764992,0.5837,10100,6,6-10,en,Shopping,Luxury Goods,2021,stylebookapp,https://www.tiktok.com/@stylebookapp/video/6953700742809062662
How I changed my face with face yoga March 1 May 1,PROVE,TALKING_HEAD,CONVERT,2,False,63.9,high,outcome_proof,high,142.7801309,0.9229,185400,12,11-26,en,Health & Fitness,Yoga & Pilates,2024,luvly.app,https://www.tiktok.com/@luvly.app/photo/7371464676422454533
Tired Of The Old Way Of Dating???,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.9,high,question,strong,31.21387283,0.799,32400,7,6-10,en,Social Networking,Dating Apps,2024,archerdating,https://www.tiktok.com/@archerdating/video/7324803138081344810
Space Age Design as a makeup look?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.9,high,question,strong,31.37552103,0.7995,82800,7,6-10,en,Lifestyle,Home Decor & DIY,2024,wayfair,https://www.tiktok.com/@wayfair/video/7350395401452784939
Is this the best new way to find somewhere to eat?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.9,high,question,strong,31.40703518,0.7996,12500,11,11-26,en,Navigation,GPS & Maps,2023,superlocal.explorers,https://www.tiktok.com/@superlocal.explorers/video/7306529603420572970
"CAN LACK OF SUNLIGHT CAUSE HEART PROBLEMS? COMPARED TO THOSE WITH THE GREATEST AMOUNT OF SUN EXPOSURE,",PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.9,high,question,strong,31.38672769,0.7996,6858,17,11-26,en,Health & Fitness,Chronic Condition Management,2023,heartifyapp,https://www.tiktok.com/@heartifyapp/video/7194976243224366382
"Hey Boss, Let's set up a meeting to talk about my salary increase. Stay cool, Best, Kate.",PROVOKE,TALKING_HEAD,REACH,2,False,63.8,high,direct_address,high,135.9331476,0.9206,48800,17,11-26,en,Productivity,Email Management,2023,friday_ai,https://www.tiktok.com/@friday_ai/video/7293129704192691461
is brown period blood normal?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.8,high,question,strong,31.05515588,0.7983,25900,5,3-5,en,Health & Fitness,Menstrual Cycle Trackers,2023,aavia.io,https://www.tiktok.com/@aavia.io/video/7187881724016315694
4 Days of Epic Deals afterpay day March 25-28,TEACH,TEXT_ON_BROLL,NURTURE,1,False,63.8,high,listicle,strong,30.8150134,0.7974,574700,9,6-10,en,Shopping,Cashback Platforms,2021,afterpayusa,https://www.tiktok.com/@afterpayusa/video/6940752651378314501
5 questions I WISH I'd asked before moving in with my partner so that you don't have to!,TEACH,TALKING_HEAD,NURTURE,2,False,63.8,high,listicle,high,136.1344538,0.9208,202500,18,11-26,en,Social Networking,Interest-Based Groups,2024,pairedapp,https://www.tiktok.com/@pairedapp/video/7442367037134933281
Does Tony Stark have a heart?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.8,high,question,strong,31.00775194,0.7978,2400000,6,6-10,en,Education,Study Aids & Flashcards,2024,chegg,https://www.tiktok.com/@chegg/video/7413761287038995742
You need to try this easy 15-minute recipe!,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.8,high,direct_address,strong,30.79443079,0.7973,75200,8,6-10,en,Food & Drink,Calorie Counters,2024,yazioapp,https://www.tiktok.com/@yazioapp/photo/7330925245488008481
QUI PAYE ?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.8,high,question,strong,31.0469986,0.7982,166800,3,3-5,en,Finance,Banking Apps,2024,pixpay,https://www.tiktok.com/@pixpay/video/7338475114981379360
HOW I WENT FROM THIS... Texture Inflammation CYSTS Scarring,PROVE,TALKING_HEAD,CONVERT,2,False,63.8,high,outcome_proof,high,136.6167914,0.9209,657400,9,6-10,en,Lifestyle,Mindfulness & Self-Care,2024,lemon8_us,https://www.tiktok.com/@lemon8_us/photo/7402371426717551914
5 Cute Questions you Have to Ask Them Flamingo Cards,TEACH,TEXT_ON_BROLL,NURTURE,1,False,63.7,high,listicle,strong,30.3030303,0.7954,1100000,10,6-10,en,Entertainment,Comedy Platforms,2025,flamingo.cards,https://www.tiktok.com/@flamingo.cards/photo/7458124892907605278
Unlimited PTO or 4-day work week?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.7,high,question,strong,30.2869288,0.7953,28500,6,6-10,en,Education,Professional Development,2023,joinhandshake,https://www.tiktok.com/@joinhandshake/video/7252362297933303083
office tour!!! ❤️,ENTERTAIN,TEXT_ON_BROLL,REACH,1,False,63.7,high,shock_statement,strong,30.24390244,0.795,27900,3,3-5,ja,Business,Task & Project Management,2024,plotworkspace,https://www.tiktok.com/@plotworkspace/video/7420446702634667295
So I created one by myself 😎,RELATE,TALKING_HEAD,REACH,2,False,63.7,high,story_teaser,high,133.3476027,0.9198,311500,7,6-10,en,Productivity,Meeting Schedulers,2023,planbella,https://www.tiktok.com/@planbella/video/7236831796988595483
Practice your English. Making a doctor's appointment!,PROVE,TEXT_ON_BROLL,CONVERT,1,False,63.7,high,authority,strong,30.14465409,0.7943,479300,7,6-10,en,Education,Language Learning,2024,fluentjoy_english,https://www.tiktok.com/@fluentjoy_english/video/7408400411301874952
5 couples questions 😍 Cute or Corny 😏 Round 4!,TEACH,TEXT_ON_BROLL,NURTURE,1,False,63.7,high,listicle,strong,30.18487395,0.7948,44900,10,6-10,fr,Social Networking,Interest-Based Groups,2024,pairedapp,https://www.tiktok.com/@pairedapp/video/7346266580617137441
Do you still edit your stories like this?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.7,high,question,strong,30.62773051,0.7965,66600,8,6-10,en,Photo & Video,Story Templates,2024,instoriesapp,https://www.tiktok.com/@instoriesapp/video/7331954133487881479
why be sad?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.7,high,question,strong,30.32967033,0.7955,27600,3,3-5,en,Social Networking,Messaging Apps,2023,meetai.app_chat.with.ai,https://www.tiktok.com/@meetai.app_chat.with.ai/video/7257881178219367682
things you finally need to stop doing,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.7,high,problem_solution,strong,30.43944266,0.7957,28400,7,6-10,en,Entertainment,Trivia & Quiz Apps,2024,thegoodquoteapp,https://www.tiktok.com/@thegoodquoteapp/photo/7343249914895404330
Oh... Do you mean a pair of earplugs?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.7,high,question,strong,30.25786164,0.7951,481100,8,6-10,en,Education,Language Learning,2024,fluentjoy_english,https://www.tiktok.com/@fluentjoy_english/video/7392505148259437832
Best AI Tools For Business Save for later Best AI Tools For Business Graphic design 🎨 Canva Find all AI Tools 🔍 Insidr.ai,TEACH,TEXT_ON_BROLL,NURTURE,1,False,63.6,high,listicle,strong,29.7826087,0.7929,41100,23,11-26,en,Education,AI Study Tools,2023,insidr.ai,https://www.tiktok.com/@insidr.ai/video/7210358611057462533
Ready to recap 2023?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.6,high,question,strong,29.95669167,0.7935,141800,4,3-5,en,Photo & Video,Video Editing,2023,videoleap_by_lightricks,https://www.tiktok.com/@videoleap_by_lightricks/video/7312520724986547458
How my pics always have the perfect lighting ✨,PROVOKE,TALKING_HEAD,REACH,2,False,63.6,high,question,high,126.9380425,0.9166,424100,9,6-10,en,Photo & Video,Photo Editing,2023,glowupapp,https://www.tiktok.com/@glowupapp/video/7208725373431909640
4 Times to Avoid a Credit Card Balance Transfer the credit card balance transfer offer.,TEACH,TEXT_ON_BROLL,NURTURE,1,False,63.6,high,listicle,strong,29.95337995,0.7935,25700,15,11-26,en,Finance,Financial Literacy Tools,2023,nerdwallet,https://www.tiktok.com/@nerdwallet/video/7290645223057820974
Relationship Glimmers What glimmers do you have in your relationship?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.6,high,question,strong,29.78151261,0.7929,44300,10,6-10,en,Social Networking,Interest-Based Groups,2024,pairedapp,https://www.tiktok.com/@pairedapp/video/7332895695969570080
"Hey, i've lost my phone number, so could i have yours?",PROVOKE,TALKING_HEAD,REACH,2,False,63.6,high,question,high,126.4822134,0.9164,1600000,11,11-26,en,Entertainment,Interactive Story Games,2024,texttension,https://www.tiktok.com/@texttension/video/7331437450566356257
WHY DOESN'T 🍔 IN-N-OUT EXPAND?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.6,high,question,strong,29.9875,0.7937,479800,5,3-5,sl,Finance,Financial Literacy Tools,2022,step,https://www.tiktok.com/@step/video/7174581771076439339
When would you use a LEARN: Mirror tool,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.5,high,question,strong,29.71576227,0.7925,2300000,8,6-10,en,Navigation,Hiking & Outdoor Navigation,2023,geocaching,https://www.tiktok.com/@geocaching/video/7194859000205217066
THESE NEW BRAWL STARS CHARACTERS ARE GOING TO DESTROY THE META?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.5,high,question,strong,29.45929149,0.7915,23700,11,11-26,pl,Games,Action & Adventure,2024,ignitetournaments,https://www.tiktok.com/@ignitetournaments/video/7360892037761191214
WILL THEY SWAP NUMBERS?? Will he open the relationship?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.5,high,question,strong,29.50490633,0.7916,132300,9,6-10,en,Entertainment,Comedy Platforms,2024,luvjusdrinks,https://www.tiktok.com/@luvjusdrinks/video/7326971259579796769
When he said that he’s coming with five guys and came with burgers and fries,RELATE,TEXT_ON_BROLL,REACH,1,False,63.5,high,pov_realism,strong,29.76018492,0.7928,103000,15,11-26,en,Social Networking,Dating Apps,2024,taimiapp,https://www.tiktok.com/@taimiapp/video/7334776012133223686
Are you tired of killing your plants?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.5,high,question,strong,29.36288089,0.7908,10600,7,6-10,en,Shopping,E-commerce Marketplaces,2021,thepalmstreetapp,https://www.tiktok.com/@thepalmstreetapp/video/7030948654320078085
HOW I COOK ON HINGE Fact about me that surprises people Pizza is my 2nd favorite thing to eat in bed noo you DID NOT,PROVE,TALKING_HEAD,CONVERT,2,False,63.5,high,outcome_proof,high,123.5046072,0.9147,790800,25,11-26,en,Social Networking,Video Communities,2024,swayai.app,https://www.tiktok.com/@swayai.app/photo/7363685476093447455
How to make Your house Smell like Christmas,TEACH,SCREEN_DEMO,NURTURE,3,True,63.5,high,demonstration,strong,7.917346939,0.576,7759,8,6-10,en,Lifestyle,Home Decor & DIY,2024,lemon8.home,https://www.tiktok.com/@lemon8.home/photo/7439837348646358315
10 fun things to do in Genting Highlands,TEACH,TEXT_ON_BROLL,NURTURE,1,False,63.5,high,listicle,strong,29.67645168,0.7922,277000,8,6-10,en,Travel,Adventure Travel,2024,klook.my,https://www.tiktok.com/@klook.my/photo/7354364801528761607
8 Theme Parks In Malaysia pt. 2,TEACH,TEXT_ON_BROLL,NURTURE,1,False,63.5,high,listicle,strong,29.54788944,0.7918,275800,7,6-10,en,Travel,Adventure Travel,2021,klook.my,https://www.tiktok.com/@klook.my/video/7004419720879312155
3 hacks to achieve your goals according to science,TEACH,TEXT_ON_BROLL,NURTURE,1,False,63.5,high,listicle,strong,29.40350877,0.7911,41900,9,6-10,en,Productivity,Focus Timers,2022,withopal,https://www.tiktok.com/@withopal/video/7049717847051750662
Best muscle in a girl? probably asking,TEACH,TEXT_ON_BROLL,NURTURE,1,False,63.5,high,listicle,strong,29.543365,0.7917,192800,7,6-10,en,Health & Fitness,Fitness Challenges,2024,flex.app,https://www.tiktok.com/@flex.app/video/7407892456433290502
"I thought Color Analysis is useless, but THIS changed my mind... Let me show you...",TEACH,TALKING_HEAD,NURTURE,2,False,63.5,high,demonstration,high,123.5330643,0.9148,795800,15,11-26,en,Lifestyle,Beauty & Skincare,2024,colorsanalysis,https://www.tiktok.com/@colorsanalysis/photo/7413456710829886752
2 unique games in KL Unique games you need to try in KL,TEACH,TEXT_ON_BROLL,NURTURE,1,False,63.5,high,listicle,strong,29.6871652,0.7923,277100,13,11-26,en,Travel,Adventure Travel,2024,klook.my,https://www.tiktok.com/@klook.my/video/7359562057454210322
Have you heard? TIKTOK SHOP!!! I'm gonna show you something that's gonna blow your mind,SELL,TALKING_HEAD,CONVERT,2,False,63.5,high,question,high,125.0,0.9153,3300000,15,11-26,en,Music,Audio Editing,2023,discoverly.ai,https://www.tiktok.com/@discoverly.ai/video/7222807603456331051
5 ways drinking less makes your life better Life without alcohol isn't just possible - it's preferable. Here's why,TEACH,TEXT_ON_BROLL,NURTURE,1,False,63.4,high,listicle,strong,29.29040325,0.7907,93700,19,11-26,en,Health & Fitness,Health Journals,2024,reframeapp,https://www.tiktok.com/@reframeapp/photo/7323036421458103598
ĐÀI LOAN Lịch Trình 5 ngày 4 đêm 13.990K,PROVE,TEXT_ON_BROLL,CONVERT,1,False,63.4,high,outcome_proof,strong,29.20754717,0.7905,7740,9,6-10,vi,Travel,Itinerary Planning,2023,thanktrip,https://www.tiktok.com/@thanktrip/video/7302232374400634114
when 96% of your state is straight...,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.4,high,question,strong,28.98006357,0.7895,100300,7,6-10,en,Social Networking,Dating Apps,2022,taimiapp,https://www.tiktok.com/@taimiapp/video/7090383484878982406
I just found Mobile AE?!😢🥶,RELATE,TALKING_HEAD,REACH,2,False,63.4,high,story_teaser,high,121.6216216,0.9141,2700000,5,3-5,zh,Photo & Video,Video Editing,2022,avu.app,https://www.tiktok.com/@avu.app/video/7182219542297316610
TikTok Copying BeReal?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,63.4,high,question,strong,29.14027149,0.79,257600,3,3-5,en,Business,Task & Project Management,2022,later.com,https://www.tiktok.com/@later.com/video/7143661982544121094
WHAT WE ATE THIS WEEK PT. 11,PROVOKE,TALKING_HEAD,REACH,2,False,63.4,high,question,high,120.9389671,0.9139,64400,7,6-10,en,,,2024,karyssaellis,https://www.tiktok.com/@karyssaellis/video/7431344781470485803
